product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
ippi;off;udp;off;false;amr-wb-16000;red;480;on;on;1146;4585;1079;284;icq;off;auto;off;auto;telephone-event-80000;rtx;1080;on;on;1315;4000;1893;3626;Failed
icq;on;auto;besteffort;auto;silk-12000;red;1080;off;off;1422;1344;4767;2490;icq;on;udp;off;true;speex-32000;h264;480;off;off;1309;289;4624;2069;Failed
icq;on;auto;besteffort;auto;silk-12000;red;1080;off;off;1422;1344;4767;2490;icq;on;udp;off;true;speex-32000;h264;480;off;off;1309;289;4624;2069;Connected
sip;off;tls;off;false;auto;vp8;240;on;on;726;4585;2315;284;h323;off;auto;off;auto;ilbc-8000;vp8;240;on;on;932;4673;1893;3809;Failed
sip;off;tls;on;auto;auto;vp8;240;off;on;726;4585;4845;719;irc;on;auto;off;auto;g722-16000;auto;480;on;off;997;3022;4716;3809;Failed
sip;off;tls;off;false;auto;vp8;240;on;on;726;4585;2315;284;h323;off;auto;off;auto;ilbc-8000;vp8;240;on;on;932;4673;1893;3809;Failed
ippi;on;auto;besteffort;auto;silk-12000;red;1080;off;off;1422;993;4767;2544;icq;on;udp;off;true;opus-48000;h264;480;off;off;1026;912;2080;2069;Connected
icq;on;auto;besteffort;auto;silk-12000;red;1080;off;on;726;4585;4845;2365;irc;on;auto;off;auto;g722-16000;rtx;480;off;off;1435;866;806;1195;Connected
sip;off;tls;off;auto;opus-48000;vp8;240;off;on;726;4585;4845;284;irc;on;auto;off;auto;pcma-8000;auto;1080;on;off;988;3114;4716;3549;Failed
ippi;on;auto;on;auto;silk-12000;red;1080;off;off;1422;577;4767;2544;icq;on;udp;off;true;opus-48000;h264;480;off;off;1309;162;1215;3219;Failed
sip;off;tls;off;auto;pcmu-8000;vp8;240;off;off;726;4585;4845;284;irc;on;auto;off;auto;pcma-8000;auto;1080;off;off;988;4633;4716;3809;Failed
sip;off;tls;off;auto;pcmu-8000;vp8;240;off;off;726;4585;4845;1080;irc;on;auto;off;auto;g722-16000;auto;480;off;on;730;3870;1861;3872;Failed
sip;off;tls;off;auto;auto;vp8;240;on;on;726;4585;2662;284;irc;on;auto;off;auto;g722-16000;vp8;1080;off;on;1067;2562;106;3533;Failed
iptel.org;off;tls;off;auto;amr-wb-16000;red;240;off;off;726;4585;155;284;irc;on;auto;off;true;gsm-8000;ulpfec;1080;on;on;680;289;1237;3676;Failed
sip;off;tls;off;auto;pcma-8000;vp8;240;on;on;726;4585;4845;284;irc;on;auto;off;auto;g722-16000;auto;480;on;off;997;3022;4716;3809;Failed
sip;off;tls;off;false;auto;vp8;240;on;on;726;4585;2315;284;h323;off;auto;off;auto;ilbc-8000;vp8;1080;on;on;1468;2463;1121;3549;Failed
icq;on;auto;on;auto;silk-12000;h264;720;off;off;1434;1344;4197;2544;ippi;on;auto;off;true;silk-16000;rtx;480;off;off;1309;289;4624;2069;Failed
iptel.org;off;tls;off;auto;pcma-8000;vp8;240;on;off;726;4585;4845;1200;irc;on;auto;off;auto;ilbc-8000;vp8;480;on;off;935;3870;312;3428;Failed
iptel.org;off;tls;off;auto;auto;vp8;240;off;on;720;4727;4127;284;irc;off;auto;off;true;gsm-8000;auto;1080;on;off;595;2629;3705;3549;Failed
sip;off;tls;off;auto;pcma-8000;vp8;240;off;off;1032;4585;4845;441;irc;on;auto;off;auto;g722-16000;vp8;1080;on;off;997;3022;4716;3809;Failed
iptel.org;off;tls;off;auto;auto;auto;240;on;on;726;4585;1022;456;irc;on;auto;off;auto;ilbc-8000;vp8;1080;on;off;1220;2562;1893;3809;Failed
iptel.org;on;udp;besteffort;auto;silk-12000;red;1080;off;off;1324;4719;4837;2397;ippi;on;auto;off;true;opus-48000;h264;480;off;on;1356;289;505;420;Failed
ippi;on;tcp;off;false;amr-wb-16000;red;480;off;on;1146;4585;1079;284;icq;on;auto;off;false;auto;rtx;360;on;on;1258;2562;106;3662;Connected
sip;off;tls;off;auto;pcmu-8000;vp8;240;off;off;726;4585;4845;1080;irc;off;auto;off;auto;gsm-8000;auto;480;on;off;1322;4582;505;3795;Failed
ippi;on;auto;besteffort;auto;silk-12000;red;1080;off;off;1408;1344;4767;2544;icq;on;udp;off;true;opus-48000;h264;480;on;off;1026;912;3330;2069;Connected
ippi;on;auto;on;auto;silk-12000;red;1080;off;off;641;4719;4837;2397;icq;on;auto;off;true;silk-16000;rtx;1080;on;on;1107;3550;1215;1761;Failed
iptel.org;off;tls;off;false;amr-wb-16000;red;240;off;on;726;4585;2315;284;h323;on;auto;off;auto;silk-12000;vp8;1080;off;off;501;3016;505;3795;Failed
iptel.org;off;tls;off;auto;pcmu-8000;vp8;480;on;on;726;4585;4845;284;irc;on;auto;off;auto;pcma-8000;auto;1080;on;off;988;3114;4716;3809;Failed
sip;off;tcp;off;auto;pcma-8000;auto;480;off;on;726;4585;4593;393;irc;on;auto;off;auto;g722-16000;vp8;1080;off;on;882;3022;4716;3535;Failed
ippi;on;tcp;off;false;amr-wb-16000;red;480;off;on;1146;4585;1079;284;icq;on;auto;off;false;auto;rtx;1080;on;on;1315;4000;1893;3809;Connected
iptel.org;off;tls;off;auto;speex-16000;h264;240;off;off;726;4585;2315;284;ippi;on;auto;off;auto;opus-48000;auto;480;on;off;890;1013;106;3662;Connected
ippi;on;auto;besteffort;auto;silk-12000;red;1080;off;off;641;4719;4837;2397;icq;on;auto;off;true;opus-48000;h264;480;off;off;1026;912;2080;2069;Failed
ippi;on;udp;off;auto;pcmu-8000;h264;360;off;off;684;4951;4767;2544;ippi;on;auto;off;true;silk-16000;rtx;480;on;off;1114;118;505;3219;Connected
iptel.org;off;tls;off;auto;speex-16000;h264;240;off;on;726;4719;4278;1701;icq;on;udp;off;true;silk-16000;rtx;1080;on;off;1309;3716;1237;3795;Connected
sip;off;tls;off;auto;pcma-8000;auto;240;off;on;726;4585;4845;284;irc;on;auto;off;auto;gsm-8000;vp8;480;on;on;988;3114;720;3809;Failed
ippi;on;auto;off;auto;silk-12000;h264;1080;off;on;552;4719;4767;2544;ippi;on;auto;off;true;opus-48000;h264;480;off;off;1026;912;2080;2069;Failed
sip;off;tls;off;auto;pcmu-8000;vp8;240;off;off;1032;4585;4845;1080;irc;on;auto;off;auto;g722-16000;auto;480;on;off;997;3022;4071;3809;Failed
sip;off;tls;off;auto;pcmu-8000;vp8;240;off;off;1032;4585;4845;1080;irc;on;auto;off;auto;g722-16000;vp8;1080;off;off;997;3022;4716;3809;Failed
iptel.org;off;tls;off;auto;pcma-8000;red;360;off;on;1424;4585;4845;1080;irc;on;auto;off;auto;gsm-8000;auto;480;on;off;612;463;1893;3809;Connected
iptel.org;off;tls;on;auto;silk-12000;auto;240;off;on;726;4585;4845;1080;irc;on;auto;off;true;gsm-8000;auto;1080;on;off;595;2629;3705;3549;Failed
ippi;on;auto;off;auto;amr-wb-16000;red;480;on;off;684;4719;4447;2337;icq;off;udp;off;auto;telephone-event-80000;rtx;1080;on;on;595;2629;1961;3549;Failed
ippi;off;udp;off;false;amr-wb-16000;red;480;on;on;1146;4585;1079;284;icq;off;auto;off;true;telephone-event-80000;rtx;1080;on;on;1258;4673;1893;3795;Connected
ippi;off;udp;off;false;amr-wb-16000;red;480;on;on;1475;4585;1079;1929;icq;off;auto;off;true;silk-16000;ulpfec;1080;on;on;932;4673;1893;3809;Failed
sip;off;tls;off;auto;pcmu-8000;vp8;240;off;off;726;4585;4845;284;irc;on;auto;off;auto;pcma-8000;auto;1080;off;off;1331;2111;2723;3809;Failed
sip;off;tls;off;auto;pcma-8000;auto;1080;off;on;726;4585;4845;284;icq;on;auto;off;auto;pcma-8000;auto;480;on;off;935;3870;312;3920;Failed
sip;off;tls;off;auto;pcma-8000;rtx;240;off;on;726;4585;4845;284;irc;on;auto;off;auto;gsm-8000;vp8;480;on;on;988;3114;720;3809;Failed
sip;off;tls;off;true;auto;vp8;240;on;on;726;4585;4845;284;irc;on;auto;off;auto;pcma-8000;auto;1080;on;off;988;4493;4716;3809;Failed
iptel.org;off;tls;off;auto;pcma-8000;auto;240;off;on;726;4585;4845;1080;irc;on;auto;off;true;gsm-8000;auto;1080;on;off;591;4673;3711;3535;Failed
iptel.org;off;tls;off;auto;speex-16000;h264;240;off;off;726;4585;4845;719;irc;on;auto;off;auto;pcma-8000;auto;1080;on;on;1468;4754;1121;3662;Connected
ippi;on;auto;on;auto;silk-12000;h264;360;off;off;684;4719;4939;2544;ippi;off;udp;off;true;speex-32000;h264;480;off;off;857;289;4624;2069;Failed
sip;off;tcp;off;auto;pcmu-8000;vp8;240;off;off;1032;4585;4845;1080;irc;on;auto;off;auto;g722-16000;vp8;1080;on;off;997;3022;4716;3809;Failed
iptel.org;off;tls;off;auto;auto;auto;240;on;on;726;4585;1022;456;irc;on;auto;off;auto;g722-16000;auto;1080;on;off;591;4673;3711;3535;Failed
iptel.org;off;tls;off;false;speex-8000;red;240;on;on;1146;4585;2079;284;icq;on;auto;off;auto;silk-12000;rtx;1080;on;on;1038;2130;106;1842;Connected
iptel.org;off;tls;off;false;amr-wb-16000;h264;240;on;on;726;4585;3695;284;h323;on;auto;off;false;silk-12000;rtx;1080;on;on;508;3870;106;3662;Connected
sip;off;tls;off;auto;pcma-8000;auto;240;off;off;726;4585;4845;1080;irc;on;auto;off;true;g722-16000;auto;480;on;on;1157;3870;466;3775;Failed
iptel.org;off;tls;off;auto;amr-wb-16000;red;240;on;on;1146;4585;2079;284;icq;on;auto;off;auto;silk-12000;rtx;1080;on;on;867;2130;106;1842;Connected
iptel.org;off;tls;off;auto;pcma-8000;vp8;240;off;on;720;4727;2565;284;irc;on;auto;off;auto;pcma-8000;vp8;1080;on;off;997;3022;4716;3809;Failed
iptel.org;on;tls;off;auto;silk-12000;h264;360;off;on;1429;4727;4845;284;irc;on;auto;off;auto;speex-32000;ulpfec;1080;on;on;932;4673;1893;3809;Failed
ippi;off;udp;off;false;amr-wb-16000;red;480;on;on;1146;4585;2492;284;icq;off;auto;off;auto;telephone-event-80000;rtx;1080;off;off;932;4673;1893;3809;Connected
iptel.org;on;tcp;on;auto;silk-12000;auto;240;off;on;726;4585;4845;1080;irc;on;auto;off;auto;pcma-8000;auto;1080;on;off;988;3022;144;3809;Failed
ippi;off;udp;off;false;amr-wb-16000;red;480;on;on;1146;4585;1079;284;icq;off;auto;off;true;telephone-event-80000;rtx;1080;on;on;1258;4673;3468;3795;Connected
ippi;on;auto;off;auto;amr-wb-16000;red;1080;off;off;1422;1344;4767;2544;icq;on;auto;off;true;pcma-8000;rtx;1080;on;on;595;2130;106;1842;Connected
ippi;on;tcp;on;false;silk-12000;h264;1080;off;on;552;4719;4767;1000;ippi;on;auto;off;true;silk-16000;rtx;480;off;off;1356;289;2429;2069;Failed
irc;off;tcp;off;auto;pcma-8000;auto;360;off;on;720;4727;4593;393;irc;on;auto;off;auto;silk-12000;vp8;1080;off;on;1322;2629;3519;3662;Failed
icq;on;auto;besteffort;auto;silk-12000;red;1080;off;off;1422;1344;4767;2490;icq;on;auto;off;true;speex-32000;h264;480;off;off;1309;289;4624;2069;Connected
iptel.org;on;tcp;off;true;amr-wb-16000;red;480;on;on;1146;4585;2462;284;icq;on;auto;off;false;silk-12000;rtx;1080;on;on;508;3870;1861;3920;Failed
sip;off;tls;on;auto;auto;vp8;240;off;on;726;4585;4845;719;irc;on;auto;off;true;silk-24000;auto;1080;on;off;595;2629;4716;3809;Failed
iptel.org;on;tls;off;auto;pcma-8000;auto;1080;off;on;726;4585;4845;284;icq;on;auto;off;auto;pcma-8000;auto;480;on;off;1393;3394;877;3699;Failed
iptel.org;on;tls;on;auto;silk-12000;auto;240;off;on;726;4585;4845;1080;irc;on;auto;off;auto;pcma-8000;auto;1080;on;off;988;3114;4716;3809;Failed
ippi;on;auto;on;auto;silk-12000;h264;720;off;off;1422;1344;4767;2390;ippi;on;udp;off;true;speex-32000;h264;480;on;off;1356;289;2429;2069;Failed
sip;off;tls;off;auto;pcma-8000;vp8;240;off;on;720;4941;2315;1914;h323;on;auto;off;auto;pcma-8000;vp8;1080;on;on;785;3870;1861;3920;Failed
sip;off;tls;off;auto;pcmu-8000;vp8;480;off;on;726;4585;4845;284;irc;on;auto;off;auto;pcma-8000;auto;1080;on;off;988;3022;3703;3809;Failed
sip;off;tls;off;auto;pcma-8000;auto;240;on;on;720;4585;1022;809;irc;on;auto;off;auto;pcma-8000;auto;1080;off;on;1322;2629;720;3809;Failed
sip;off;tls;off;auto;pcma-8000;vp8;240;on;on;726;4585;4845;719;irc;on;auto;off;auto;ilbc-8000;vp8;1080;on;off;525;3922;3705;3549;Failed
iptel.org;on;udp;off;auto;pcma-8000;auto;240;off;off;726;4585;4845;1080;irc;on;auto;off;auto;g722-16000;auto;480;on;on;680;2130;106;1842;Failed
sip;off;tls;off;true;pcma-8000;auto;240;on;off;726;4585;4845;1080;irc;on;auto;off;auto;silk-16000;auto;480;on;off;830;4673;4560;3809;Failed
iptel.org;off;tls;off;auto;pcmu-8000;vp8;480;off;on;726;4585;2668;284;irc;on;auto;off;auto;ilbc-8000;vp8;1080;on;on;1258;2562;106;3662;Failed
