product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate
iptel.org;on;tls;off;auto;amr-wb-16000;red;720;off;off;1049;4827;4494;2511;icq;off;udp;off;auto;gsm-8000;rtx;1080;on;off;938;2558;113;3946
sip;off;tls;off;auto;silk-24000;vp8;240;off;on;957;4827;1601;1231;irc;off;auto;off;auto;silk-8000;ulpfec;480;on;on;938;2558;208;4109
irc;off;tls;on;auto;silk-24000;red;480;off;on;1049;4827;1970;1231;irc;off;tls;off;auto;pcmu-8000;rtx;480;on;off;957;2558;295;4109
iptel.org;off;tls;on;auto;silk-24000;red;480;off;on;957;4827;3111;2422;irc;off;auto;off;auto;speex-32000;h264;480;on;off;1216;2564;113;3946
irc;off;tls;off;auto;silk-24000;red;480;on;on;1049;4827;2914;1231;icq;on;auto;off;auto;silk-12000;rtx;1080;on;off;1224;3997;113;3901
irc;off;tls;on;auto;silk-24000;auto;240;on;on;1052;4827;3362;1063;irc;off;auto;off;auto;speex-32000;vp8;480;on;off;757;2722;269;2302
irc;off;tls;on;auto;silk-24000;red;480;on;on;957;4827;3111;1231;icq;off;auto;off;auto;telephone-event-80000;vp8;480;on;off;728;2878;246;3740
sip;off;tls;on;auto;silk-24000;vp8;240;off;on;957;4827;3111;1231;irc;off;auto;on;auto;speex-32000;ulpfec;480;on;off;1047;4182;113;4109
h323;off;tls;on;auto;silk-24000;vp8;480;off;on;879;4827;3102;1231;h323;off;auto;on;auto;speex-32000;vp8;240;on;off;957;2558;295;4109
irc;off;tls;on;auto;silk-24000;rtx;240;off;on;1185;4827;3111;857;irc;on;auto;on;auto;telephone-event-80000;vp8;480;on;off;938;2558;208;4109
irc;off;tls;on;auto;silk-24000;auto;240;off;on;1052;4827;3102;1231;irc;off;auto;on;auto;speex-32000;vp8;240;on;off;704;3724;208;4109
iptel.org;on;tls;off;auto;silk-12000;red;1080;off;off;1206;4827;4494;2511;icq;off;udp;off;true;silk-8000;rtx;1080;on;on;1139;3570;84;1924
irc;off;tls;on;auto;opus-48000;vp8;240;off;off;1282;4827;3933;1231;irc;off;auto;off;auto;speex-32000;vp8;480;on;off;1114;2878;246;2298
sip;off;tls;on;auto;pcma-8000;h264;240;on;on;1049;4827;882;1231;irc;on;tls;on;auto;speex-32000;vp8;480;on;off;930;2592;295;3901
sip;off;tls;on;auto;silk-24000;rtx;480;on;on;957;4827;1834;1231;h323;off;auto;on;auto;speex-32000;vp8;480;on;off;1089;872;113;3946
irc;off;tls;on;auto;silk-24000;auto;240;off;on;940;4827;3111;1231;irc;on;auto;off;auto;speex-32000;vp8;480;on;off;525;2878;246;1330
sip;off;tls;on;auto;silk-24000;vp8;240;off;on;750;4827;3102;1409;irc;off;auto;on;auto;silk-8000;vp8;240;on;off;604;2878;246;1330
iptel.org;off;tls;on;auto;silk-24000;auto;240;on;on;1052;4827;3102;1231;irc;off;auto;on;auto;silk-8000;vp8;480;on;off;525;3847;246;3946
irc;off;tls;on;auto;silk-24000;vp8;240;off;on;957;4827;3111;1231;irc;off;auto;on;auto;speex-32000;ulpfec;480;on;off;1047;4182;113;3946
iptel.org;off;tls;off;auto;amr-wb-16000;red;720;off;off;1049;4827;3155;1231;irc;off;auto;off;auto;amr-wb-16000;rtx;1080;on;off;757;4093;269;2302
iptel.org;on;tcp;off;auto;pcma-8000;red;720;off;off;1049;4827;1970;1231;irc;off;auto;off;auto;silk-12000;rtx;240;on;off;1107;2592;369;4109
irc;off;tls;on;auto;silk-24000;rtx;240;off;on;1052;4827;3102;1231;irc;off;auto;besteffort;auto;speex-32000;vp8;240;off;off;938;2695;113;3946
iptel.org;on;tls;off;auto;pcma-8000;red;720;off;off;1049;4827;4494;1542;googletalk;off;udp;off;true;silk-16000;rtx;1080;on;off;1114;4166;269;283
irc;off;tls;on;auto;silk-24000;rtx;240;off;on;957;4827;3111;2422;irc;off;auto;off;auto;speex-32000;h264;480;on;off;938;3724;208;4109
iptel.org;on;tls;off;auto;pcma-8000;red;720;off;off;1049;4827;1970;1231;irc;off;auto;off;auto;silk-12000;rtx;240;on;off;1107;2592;369;4109
h323;off;tls;on;auto;silk-24000;vp8;480;off;on;879;4827;1601;1801;irc;on;auto;on;auto;g722-16000;vp8;480;on;off;1114;2878;369;3298
iptel.org;on;tls;off;auto;amr-wb-16000;red;480;off;on;1049;4827;3933;1727;icq;off;auto;off;auto;silk-24000;rtx;1080;on;on;502;3847;246;3946
iptel.org;off;tls;on;auto;silk-24000;red;240;on;on;1049;4827;3111;1231;irc;off;auto;on;auto;speex-32000;vp8;480;off;off;1145;2564;113;4099
sip;off;tcp;on;auto;silk-24000;vp8;240;off;on;1052;4827;3102;1231;h323;off;auto;on;auto;speex-32000;ulpfec;240;on;off;1043;2564;246;4082
iptel.org;off;tls;off;auto;silk-12000;h264;240;on;on;1052;4827;3102;1231;irc;off;auto;off;auto;ilbc-8000;rtx;1080;on;on;1001;2564;208;315
iptel.org;on;tls;off;auto;pcma-8000;red;480;on;on;1049;4827;2936;1231;icq;off;auto;off;auto;silk-12000;rtx;240;on;off;525;2564;113;3946
sip;off;tls;on;auto;silk-24000;vp8;480;off;on;879;4827;1601;1801;irc;on;auto;off;auto;pcmu-8000;vp8;360;on;off;930;2592;295;3901
iptel.org;on;tls;off;auto;pcma-8000;h264;480;on;on;1049;4827;2259;1231;aim;off;auto;off;auto;speex-32000;rtx;1080;on;off;704;3724;208;4109
sip;off;tls;on;auto;silk-24000;vp8;480;off;on;750;4827;3102;1409;irc;on;auto;on;auto;telephone-event-80000;vp8;240;on;off;525;2982;113;4109
iptel.org;on;tls;on;auto;silk-24000;auto;240;off;off;1052;4827;3206;1231;irc;off;auto;on;false;pcmu-8000;rtx;480;on;off;930;2592;295;3946
aim;off;tls;off;auto;silk-24000;auto;240;on;on;1052;4827;4447;1231;irc;off;auto;off;auto;speex-32000;vp8;480;on;off;938;2695;113;3946
h323;off;tls;on;auto;silk-24000;vp8;360;off;on;1052;4827;3102;1231;irc;off;auto;on;auto;pcma-8000;vp8;240;on;off;769;2878;246;4109
sip;off;tls;on;auto;silk-24000;vp8;240;off;on;1052;4827;2478;1231;irc;off;auto;on;auto;speex-32000;vp8;480;on;off;1114;4696;208;834
sip;off;tls;on;auto;silk-24000;vp8;720;off;on;1041;4827;3124;1231;irc;on;auto;off;auto;speex-32000;vp8;1080;on;off;1001;2564;113;3946
iptel.org;off;tls;on;auto;silk-24000;auto;240;on;on;957;4827;3111;1231;irc;off;auto;on;auto;speex-32000;vp8;480;on;off;1145;2564;113;4109
irc;off;tls;on;auto;opus-48000;auto;240;on;on;1052;4827;3102;1231;irc;off;auto;off;auto;g722-16000;vp8;480;on;off;1114;4166;269;3946
irc;off;tls;on;auto;silk-24000;ulpfec;720;on;on;988;4827;3102;1231;irc;on;auto;besteffort;auto;amr-wb-16000;vp8;480;on;off;790;2564;113;3946
iptel.org;on;tls;off;auto;silk-24000;h264;480;off;on;988;4827;1601;1231;googletalk;off;auto;off;auto;pcmu-8000;ulpfec;360;on;off;957;2558;295;4109
h323;off;tls;on;auto;silk-24000;vp8;480;off;on;879;4827;3111;1231;irc;off;auto;on;auto;speex-32000;vp8;480;off;off;1145;2564;113;4099
iptel.org;off;tls;off;auto;amr-wb-16000;red;720;off;off;1049;4827;1834;1231;irc;off;auto;off;auto;auto;h264;480;on;off;938;2592;269;2457
iptel.org;off;tls;on;auto;silk-24000;vp8;480;off;on;750;4827;3102;1409;irc;on;auto;on;auto;telephone-event-80000;vp8;240;on;off;525;2982;113;4109
irc;off;tls;on;auto;silk-24000;rtx;240;on;on;1052;4827;3102;1231;irc;off;auto;besteffort;auto;telephone-event-80000;vp8;240;on;off;537;2564;246;4082
iptel.org;off;tls;on;auto;silk-24000;vp8;240;on;on;1052;4827;3102;1231;irc;off;auto;on;auto;silk-8000;vp8;480;on;off;938;3724;208;4109
sip;off;tls;on;auto;silk-24000;vp8;1080;off;on;1041;4827;3632;1822;irc;on;auto;off;auto;silk-16000;ulpfec;360;on;off;747;3276;246;3946
irc;off;tls;on;auto;silk-24000;auto;240;off;on;1240;4827;3102;1231;irc;off;auto;on;auto;silk-8000;vp8;480;on;off;747;3276;246;3946
sip;off;tls;on;auto;pcma-8000;h264;480;on;on;1052;4827;3102;1231;irc;off;auto;besteffort;auto;speex-32000;vp8;240;on;off;938;2695;113;3946
