product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate
iptel.org;off;tls;off;auto;gsm-8000;h264;480;on;on;1002;4614;793;853;icq;off;auto;off;auto;speex-16000;rtx;1080;on;off;1002;4903;119;3881
sip;off;tls;on;auto;silk-24000;vp8;240;on;on;968;4907;464;711;irc;on;auto;besteffort;auto;g722-16000;vp8;240;on;off;970;2681;235;3880
sip;off;tls;on;auto;silk-24000;vp8;240;on;on;992;4769;2905;711;h323;on;auto;besteffort;auto;silk-8000;vp8;240;on;off;902;2480;119;3881
sip;off;tls;besteffort;auto;silk-24000;vp8;240;off;off;1002;4614;3425;1092;irc;on;auto;off;auto;speex-32000;vp8;480;on;off;862;2480;119;2137
iptel.org;on;tls;off;true;ilbc-8000;red;1080;off;off;1295;316;4943;4377;ippi;off;udp;off;true;auto;rtx;1080;on;on;1394;3584;1910;2134
iptel.org;on;tls;off;auto;silk-12000;red;1080;on;off;1470;4614;4604;3131;ippi;off;udp;off;true;auto;rtx;1080;on;on;1394;3584;4034;2134
sip;off;tls;on;auto;silk-24000;red;240;off;on;882;4614;3425;203;irc;on;auto;off;auto;speex-16000;ulpfec;480;on;off;621;4903;119;3881
iptel.org;off;tls;off;auto;gsm-8000;h264;480;on;off;1470;4614;4604;3131;icq;off;udp;off;true;telephone-event-80000;rtx;1080;on;off;1394;3584;446;1749
sip;off;tls;on;auto;silk-24000;auto;240;off;on;934;4614;3425;711;irc;off;auto;off;auto;pcmu-8000;ulpfec;480;on;off;895;3096;376;3880
iptel.org;on;tls;off;auto;ilbc-8000;red;1080;off;off;1295;316;4943;4377;ippi;off;udp;off;true;auto;rtx;1080;on;on;1394;3584;446;1749
iptel.org;on;tls;off;auto;silk-12000;red;1080;on;off;1470;4614;4604;3131;icq;off;udp;off;true;telephone-event-80000;rtx;1080;on;on;1394;3584;446;1749
irc;off;tls;on;auto;silk-24000;h264;720;off;on;669;4907;2121;711;irc;off;auto;on;auto;speex-16000;vp8;480;on;off;897;2681;119;3880
sip;on;tls;on;auto;silk-24000;vp8;480;off;on;669;4769;2905;711;irc;off;auto;off;auto;ilbc-8000;ulpfec;480;on;off;650;2681;119;3880
irc;on;tls;on;auto;silk-24000;red;240;off;on;968;4907;2905;711;irc;off;tls;off;auto;auto;ulpfec;480;on;off;1394;3584;271;228
irc;off;tls;on;auto;silk-24000;rtx;480;on;on;1002;4769;2905;711;irc;on;auto;on;auto;auto;vp8;240;on;off;650;2681;119;3880
iptel.org;on;tls;off;auto;pcmu-8000;red;240;on;off;1470;4614;4604;3131;icq;off;udp;off;true;telephone-event-80000;rtx;1080;on;off;1394;3584;446;1749
irc;on;tls;off;auto;silk-24000;vp8;720;off;on;968;4907;2905;711;irc;on;auto;on;auto;auto;vp8;480;on;off;1106;2681;119;1943
irc;off;tls;off;auto;silk-12000;red;1080;on;off;1295;4614;4365;711;irc;off;auto;off;auto;speex-16000;rtx;1080;on;off;1002;4903;119;3881
aim;off;tls;on;auto;silk-24000;vp8;720;off;on;1002;4614;2905;711;irc;off;auto;on;auto;auto;vp8;240;on;off;512;3059;119;3880
iptel.org;on;tls;off;auto;speex-32000;h264;720;off;on;1002;4614;3453;853;icq;off;udp;off;auto;auto;rtx;1080;on;off;897;525;235;3881
h323;off;tls;on;auto;silk-24000;auto;480;off;on;968;4907;464;711;irc;on;auto;on;auto;speex-8000;vp8;480;on;off;773;3096;235;3881
sip;off;tls;on;auto;silk-24000;vp8;240;off;off;990;4809;1669;1024;h323;on;auto;off;auto;auto;vp8;480;on;off;1042;3151;376;1984
irc;off;tls;on;auto;silk-24000;auto;480;off;on;669;4769;1592;1610;irc;off;auto;on;auto;speex-16000;vp8;1080;on;off;895;3096;235;3880
iptel.org;off;tls;off;auto;gsm-8000;h264;480;on;on;1002;4614;793;853;icq;off;udp;off;true;speex-16000;rtx;1080;on;off;897;3783;235;1479
iptel.org;on;tls;off;auto;silk-24000;red;1080;off;on;968;4907;2905;1220;irc;on;auto;off;auto;speex-8000;vp8;480;on;off;1106;2954;82;3800
iptel.org;on;tls;off;auto;gsm-8000;h264;480;on;on;1002;4614;3453;853;icq;off;auto;off;false;speex-8000;rtx;1080;on;off;1125;2904;376;2369
sip;off;tls;on;auto;silk-24000;red;240;off;on;968;4907;2905;711;irc;off;auto;off;auto;auto;ulpfec;480;on;off;897;2480;376;3880
iptel.org;on;tls;off;auto;silk-12000;red;1080;on;off;1295;316;4943;4377;ippi;off;udp;off;true;auto;rtx;1080;on;on;1394;3584;222;2134
iptel.org;off;tls;off;auto;speex-32000;h264;720;off;on;1002;4614;3453;853;icq;off;udp;off;auto;auto;rtx;1080;on;off;895;3096;235;3880
irc;off;tls;on;auto;silk-24000;red;240;off;off;1002;4614;3425;1092;irc;on;tls;off;auto;speex-32000;h264;1080;on;on;1394;4132;82;485
iptel.org;off;tls;off;auto;gsm-8000;h264;480;on;on;1002;1758;1658;853;icq;off;auto;off;auto;telephone-event-80000;rtx;1080;on;off;1163;3779;147;3880
irc;off;tls;on;auto;auto;auto;240;on;on;1002;4769;2905;711;irc;on;auto;on;auto;opus-48000;ulpfec;240;on;off;862;2681;119;3880
sip;off;tls;on;auto;silk-16000;vp8;240;on;on;1002;4614;3425;711;irc;on;auto;on;auto;auto;vp8;240;on;off;897;2480;376;3880
sip;off;tls;on;auto;silk-24000;vp8;240;off;on;1002;4614;2905;711;h323;on;auto;on;auto;auto;vp8;480;on;off;970;2681;235;3880
irc;off;tls;on;auto;silk-24000;red;240;off;on;968;4907;2905;711;irc;off;auto;on;auto;amr-wb-16000;vp8;1080;on;off;862;3059;235;3881
iptel.org;off;tls;off;auto;gsm-8000;h264;480;on;on;1002;4614;2905;711;irc;off;auto;on;auto;speex-8000;vp8;480;on;off;897;2480;376;4042
h323;off;tls;on;auto;silk-24000;vp8;240;off;on;669;4769;2905;711;irc;on;auto;on;auto;gsm-8000;vp8;480;on;off;1106;2681;119;3880
iptel.org;off;tls;on;auto;silk-24000;auto;240;off;on;1002;4769;2905;711;irc;off;auto;off;auto;auto;vp8;1080;on;off;895;2813;119;3691
iptel.org;on;tls;off;auto;silk-12000;red;1080;on;off;1470;4614;4604;3131;icq;off;udp;off;true;telephone-event-80000;rtx;1080;on;on;1394;3584;446;3585
iptel.org;on;tls;off;auto;silk-12000;red;1080;on;off;1470;4614;4604;4377;ippi;off;udp;off;auto;pcmu-8000;rtx;1080;on;on;1394;3584;82;485
h323;off;tls;on;auto;silk-24000;vp8;480;on;on;1002;4614;3425;711;irc;on;auto;on;auto;opus-48000;ulpfec;240;on;off;862;3059;376;3570
sip;off;tls;on;auto;silk-16000;vp8;240;off;on;1002;4769;2905;711;icq;off;auto;off;auto;telephone-event-80000;ulpfec;480;on;off;897;2610;119;3881
irc;off;tls;on;auto;silk-24000;red;240;off;off;1181;4769;2166;711;irc;on;auto;off;auto;amr-wb-16000;vp8;720;on;off;897;3096;119;1783
sip;off;tls;on;auto;silk-24000;auto;240;on;on;831;4769;2905;711;irc;on;auto;on;auto;amr-wb-16000;vp8;240;on;off;895;3096;235;3880
h323;off;tls;on;auto;silk-24000;vp8;480;on;on;1002;4769;2905;711;irc;on;auto;off;auto;speex-16000;vp8;480;on;off;897;2480;376;4042
sip;off;tls;on;auto;silk-24000;vp8;240;off;on;669;4769;2905;711;irc;on;auto;on;auto;speex-32000;vp8;480;on;off;650;2709;119;2491
sip;off;tls;on;auto;silk-24000;red;240;on;on;1002;4614;1857;1216;irc;off;auto;off;auto;speex-8000;vp8;360;on;off;650;2681;119;3880
irc;off;tls;off;auto;silk-24000;red;1080;on;off;1295;4614;4604;711;irc;off;auto;off;auto;ilbc-8000;rtx;1080;on;off;1248;2480;376;3884
irc;off;tls;on;true;silk-24000;red;1080;on;on;669;4709;3103;711;irc;on;auto;off;auto;telephone-event-80000;ulpfec;480;on;off;862;2681;446;1749
iptel.org;off;tls;off;auto;silk-24000;red;480;on;on;968;4818;2905;711;irc;on;udp;off;false;amr-wb-16000;rtx;1080;on;on;1394;4132;82;485
iptel.org;off;tls;off;auto;silk-12000;red;1080;off;off;1470;4614;4604;1390;aim;off;auto;off;true;telephone-event-80000;rtx;1080;on;on;1394;3275;82;2137
