product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
h323;on;auto;on;true;pcmu-8000;h264;720;off;off;1181;575;1755;3422;googletalk;off;tls;off;false;pcmu-8000;h264;1080;on;off;538;4565;2792;1110;Failed
googletalk;on;auto;besteffort;auto;silk-24000;red;1080;on;off;1137;2399;1800;235;ippi;off;auto;besteffort;auto;auto;ulpfec;240;on;on;531;4565;2792;1110;Failed
googletalk;on;auto;besteffort;auto;silk-24000;rtx;1080;on;on;1489;4846;744;87;googletalk;on;auto;besteffort;auto;silk-8000;vp8;240;off;on;707;498;684;3897;Failed
h323;on;auto;on;true;pcmu-8000;h264;720;off;off;852;575;1755;4462;googletalk;off;tls;off;false;pcmu-8000;rtx;720;on;off;538;4898;4437;541;Failed
ippi;on;tls;off;false;speex-16000;h264;240;off;on;1228;4889;2760;1557;googletalk;on;tcp;off;false;pcma-8000;auto;720;off;off;663;2573;684;4368;Connected
googletalk;on;auto;besteffort;auto;silk-24000;rtx;1080;on;on;1489;4846;744;87;googletalk;on;auto;besteffort;auto;silk-8000;vp8;240;off;on;707;498;684;3897;Failed
googletalk;on;auto;besteffort;auto;silk-24000;rtx;1080;off;on;1489;4573;576;120;iptel.org;on;auto;besteffort;auto;ilbc-8000;ulpfec;240;off;on;707;312;461;550;Failed
h323;on;auto;on;true;pcmu-8000;h264;720;off;off;1181;575;1755;3422;googletalk;on;tls;off;false;pcmu-8000;h264;1080;on;off;538;4898;4437;541;Failed
ippi;off;auto;besteffort;auto;silk-24000;rtx;1080;on;on;1489;4846;744;87;googletalk;on;auto;besteffort;auto;silk-8000;vp8;240;off;on;707;498;684;3897;Failed
h323;on;auto;off;true;pcmu-8000;h264;720;off;off;1107;484;1755;3422;googletalk;off;tls;off;false;pcmu-8000;h264;1080;on;off;538;4565;2792;1110;Connected
h323;on;auto;besteffort;true;pcmu-8000;h264;720;off;off;1107;575;1755;3422;googletalk;off;tls;off;false;pcmu-8000;h264;1080;on;off;538;4898;1741;541;Failed
h323;on;auto;besteffort;true;pcmu-8000;h264;720;off;off;852;1270;1931;4655;googletalk;off;tls;besteffort;false;pcmu-8000;h264;1080;on;off;538;4898;4437;541;Connected
ippi;on;tls;off;false;speex-16000;h264;240;off;on;1228;4889;3267;1557;googletalk;on;udp;off;false;pcma-8000;auto;1080;off;off;663;3118;631;4345;Failed
googletalk;on;auto;besteffort;auto;silk-24000;red;1080;off;on;1489;4016;576;2793;googletalk;on;auto;besteffort;auto;amr-wb-16000;vp8;360;off;on;663;169;95;3897;Failed
iptel.org;on;auto;besteffort;auto;pcmu-8000;h264;720;off;off;1107;575;1755;3422;googletalk;off;tls;off;false;pcmu-8000;h264;720;on;off;538;4565;2792;1110;Connected
googletalk;on;auto;besteffort;auto;silk-24000;red;1080;on;off;890;1904;2675;3301;googletalk;on;tls;on;false;pcma-8000;ulpfec;1080;on;on;590;4565;2792;1110;Failed
ippi;on;auto;off;auto;speex-16000;h264;360;off;on;864;2958;576;2793;googletalk;on;auto;besteffort;auto;pcma-8000;ulpfec;240;on;on;735;4661;473;1110;Failed
ippi;on;auto;off;auto;pcmu-8000;h264;480;off;on;916;1904;2637;3722;googletalk;on;tls;off;false;pcma-8000;h264;1080;on;off;538;4898;4437;541;Connected
googletalk;on;auto;besteffort;auto;silk-24000;rtx;1080;off;off;1489;4016;576;120;iptel.org;on;auto;besteffort;auto;auto;ulpfec;240;off;on;707;2209;684;847;Failed
h323;on;auto;besteffort;auto;pcmu-8000;h264;720;off;off;852;575;1755;4462;googletalk;off;tls;off;false;pcmu-8000;rtx;720;on;off;538;4565;2792;847;Failed
ippi;on;tcp;off;true;speex-16000;h264;360;off;on;852;1968;1300;2055;googletalk;on;udp;on;false;pcma-8000;auto;1080;off;on;707;4112;336;4368;Failed
ippi;on;tcp;off;true;speex-16000;h264;1080;off;on;1059;1938;2675;4655;googletalk;on;tls;on;false;pcma-8000;h264;240;off;on;707;3118;461;3897;Failed
ippi;on;tcp;off;true;speex-16000;h264;240;off;on;864;1938;2675;4655;googletalk;on;tls;on;false;pcma-8000;auto;360;on;off;663;4052;169;559;Failed
h323;on;auto;besteffort;true;pcmu-8000;h264;720;off;off;852;1270;1931;4655;googletalk;off;tls;off;false;pcmu-8000;rtx;1080;on;off;538;4565;2792;541;Connected
ippi;on;tls;off;false;speex-16000;h264;720;off;on;1228;1968;4955;2055;googletalk;on;tcp;off;false;pcma-8000;auto;360;on;on;723;4859;473;4647;Failed
ippi;on;auto;besteffort;true;speex-16000;h264;360;off;on;1009;4016;576;1507;googletalk;on;tcp;besteffort;auto;pcma-8000;auto;240;off;on;663;4859;473;4368;Failed
ippi;on;tls;off;false;speex-16000;h264;480;off;on;1228;4889;1281;1557;googletalk;on;tcp;off;false;pcma-8000;auto;1080;on;off;663;3118;631;4345;Failed
ippi;on;tcp;off;true;speex-16000;h264;360;off;on;852;1968;1755;2055;googletalk;on;tcp;off;false;pcma-8000;auto;480;on;on;523;4117;473;1110;Connected
