product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
googletalk;on;auto;besteffort;true;ilbc-8000;h264;720;off;off;1312;4548;2671;552;iptel.org;off;udp;off;false;speex-8000;ulpfec;1080;on;on;528;3389;1328;3577;Failed
googletalk;on;tls;off;auto;telephone-event-80000;ulpfec;1080;off;off;945;3918;817;60;irc;off;auto;besteffort;auto;auto;auto;240;on;on;556;4814;353;4201;Failed
h323;off;auto;besteffort;auto;pcmu-8000;h264;480;on;off;1312;1204;3089;3680;googletalk;on;tls;off;false;speex-8000;rtx;1080;on;on;521;2102;3913;469;Connected
googletalk;off;tls;off;auto;silk-8000;auto;1080;off;off;796;3918;4628;60;ippi;off;auto;besteffort;auto;auto;auto;360;on;off;556;4814;557;4201;Failed
googletalk;on;auto;off;auto;telephone-event-80000;vp8;1080;off;on;945;3918;817;60;iptel.org;off;auto;besteffort;auto;auto;auto;240;on;on;521;4890;557;4201;Failed
h323;off;auto;besteffort;auto;pcmu-8000;h264;480;on;off;1450;1204;3260;3247;googletalk;on;tls;off;true;speex-8000;rtx;1080;on;on;521;1674;1499;469;Connected
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1450;1204;3260;3247;googletalk;on;tls;off;true;speex-8000;rtx;1080;on;on;521;1674;1499;469;Connected
aim;on;auto;besteffort;auto;pcmu-8000;h264;480;on;off;1312;1204;3089;3680;googletalk;on;tls;off;false;speex-8000;rtx;1080;on;on;521;2102;3734;469;Connected
googletalk;off;tls;off;auto;silk-8000;auto;1080;off;off;796;3918;4628;60;ippi;off;auto;besteffort;true;silk-8000;auto;360;on;off;661;4890;560;4729;Failed
h323;off;auto;besteffort;auto;pcmu-8000;h264;480;on;off;1312;1204;3089;3680;googletalk;on;tls;off;false;speex-8000;ulpfec;720;on;on;521;2102;3913;469;Connected
googletalk;off;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1358;1640;3260;3311;ippi;off;udp;off;true;pcmu-8000;h264;720;on;on;541;4814;107;4240;Failed
googletalk;on;auto;off;auto;silk-24000;auto;1080;off;off;796;2331;4022;1295;iptel.org;off;auto;off;true;silk-8000;auto;360;on;off;642;4890;277;4201;Failed
h323;off;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1450;1204;3260;3680;googletalk;on;tls;off;true;speex-8000;red;1080;on;on;521;1674;3105;469;Connected
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1469;1204;160;1295;iptel.org;off;auto;off;true;pcmu-8000;auto;360;on;off;642;4890;277;4201;Failed
