product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate
iptel.org;on;tls;off;auto;speex-16000;red;720;off;off;1073;1558;4631;4586;icq;off;udp;off;true;telephone-event-80000;rtx;1080;on;on;1490;3685;2174;2389
sip;off;tls;on;auto;silk-24000;vp8;240;on;on;938;4573;2186;1446;h323;off;auto;besteffort;auto;pcma-8000;vp8;240;on;off;545;2737;321;3906
iptel.org;off;tls;off;auto;pcma-8000;h264;480;on;on;600;4876;646;591;icq;off;auto;off;auto;silk-8000;rtx;1080;on;off;1063;3014;499;4086
iptel.org;on;tls;off;auto;pcma-8000;h264;720;on;off;1413;1558;4631;4586;icq;off;udp;off;true;ilbc-8000;rtx;1080;on;on;1490;3685;2174;2389
sip;off;tls;besteffort;auto;silk-24000;vp8;240;off;on;1357;4573;2096;755;irc;on;auto;on;auto;silk-8000;vp8;480;on;off;1127;2737;278;1326
sip;off;tls;on;auto;silk-24000;vp8;240;on;on;938;4573;2186;1446;h323;off;auto;besteffort;auto;pcma-8000;vp8;240;on;off;545;2737;321;3906
sip;on;tls;on;auto;silk-24000;vp8;240;off;on;511;4909;3690;1424;irc;on;auto;on;auto;silk-8000;vp8;480;on;off;545;2737;358;2023
irc;off;tls;on;auto;silk-24000;vp8;240;off;on;770;4573;2186;1446;irc;off;auto;on;auto;opus-48000;vp8;480;on;off;1067;3014;358;981
sip;off;tls;on;auto;silk-24000;vp8;240;off;on;938;4573;2057;586;h323;off;auto;besteffort;auto;g722-16000;vp8;240;on;off;545;2852;232;3940
sip;off;tls;on;auto;silk-24000;vp8;240;off;on;941;4985;2186;1446;h323;off;auto;on;auto;silk-8000;vp8;240;on;off;1039;2892;95;4086
h323;off;tls;on;auto;silk-24000;auto;240;off;on;985;4573;2186;1446;irc;off;auto;off;auto;silk-12000;vp8;360;on;off;1039;2892;358;3906
irc;on;tls;on;auto;silk-24000;auto;240;off;on;985;4573;2186;1446;irc;on;auto;off;auto;silk-8000;vp8;480;on;off;968;2737;321;3906
irc;off;tls;on;auto;silk-24000;ulpfec;240;off;on;928;4896;3732;1653;irc;on;auto;off;auto;g722-16000;vp8;480;on;off;1067;3014;358;3710
iptel.org;off;tls;on;true;silk-24000;vp8;240;on;on;939;4573;2186;1446;irc;on;auto;off;auto;silk-8000;vp8;480;on;off;1039;2892;358;3953
irc;off;tls;on;auto;silk-24000;auto;480;off;on;831;4573;3723;1446;irc;on;auto;on;auto;auto;vp8;240;on;off;1127;2737;95;3945
sip;off;tls;on;auto;silk-24000;auto;240;off;on;1068;4641;2186;1446;h323;off;auto;on;auto;opus-48000;vp8;480;on;off;964;2737;321;4086
irc;off;tls;on;auto;silk-24000;auto;240;off;on;985;4573;1828;1446;irc;off;udp;off;auto;auto;vp8;480;on;off;1127;2737;358;4086
sip;off;tls;on;auto;silk-24000;ulpfec;480;off;on;1068;4909;3690;1424;irc;off;auto;off;auto;silk-12000;vp8;240;on;off;545;2737;321;3906
aim;off;tls;on;auto;silk-24000;vp8;240;off;on;770;4573;2186;1446;irc;off;auto;on;auto;opus-48000;vp8;480;on;off;1067;2892;95;4086
sip;off;tls;on;auto;pcma-8000;h264;240;off;on;1140;4781;2558;1349;irc;off;auto;on;auto;pcma-8000;ulpfec;240;on;off;860;4013;358;4086
irc;off;tls;on;auto;silk-24000;h264;240;off;on;1073;4832;2619;591;irc;off;auto;off;auto;opus-48000;vp8;1080;on;off;1039;2892;358;3710
aim;off;tls;on;auto;silk-24000;vp8;240;off;on;868;4641;2186;1382;h323;off;auto;on;auto;silk-12000;vp8;480;on;off;529;2852;232;3940
sip;off;tls;on;auto;silk-24000;vp8;240;on;on;770;4928;2186;1009;irc;off;auto;off;auto;silk-8000;vp8;480;on;off;1039;3014;358;4038
sip;off;tls;on;auto;silk-24000;auto;360;off;on;868;4573;2186;1446;irc;on;auto;on;auto;opus-48000;vp8;240;on;off;1127;2737;358;4086
iptel.org;off;tls;off;auto;pcma-8000;h264;360;on;on;770;4616;3228;1382;icq;on;auto;off;auto;telephone-event-80000;rtx;1080;on;off;1067;4506;358;3710
iptel.org;on;tls;off;auto;speex-16000;red;720;off;off;1073;1558;4631;4586;icq;on;udp;off;true;g722-16000;rtx;1080;on;on;1490;3685;374;2389
irc;off;tls;on;auto;silk-24000;ulpfec;240;on;on;747;4641;2186;1446;irc;off;auto;on;auto;pcma-8000;vp8;480;on;off;964;2852;232;3940
aim;off;tls;on;auto;silk-24000;vp8;240;off;on;941;4985;2186;1446;h323;off;auto;off;auto;silk-12000;vp8;240;on;off;1084;3208;95;4086
h323;on;tls;on;auto;silk-24000;vp8;720;off;off;542;4573;2186;1382;h323;on;auto;on;auto;opus-48000;vp8;240;on;off;1127;2737;95;4086
irc;off;tls;on;auto;silk-24000;vp8;240;off;on;770;4573;2186;1446;irc;off;auto;on;auto;silk-12000;vp8;480;on;off;825;4479;157;4086
iptel.org;on;tls;off;auto;pcma-8000;h264;360;off;off;1413;4616;3228;1382;icq;off;udp;off;true;telephone-event-80000;rtx;1080;off;on;904;4663;358;1326
irc;off;tls;off;auto;silk-24000;red;360;off;on;1047;4573;2186;591;irc;off;auto;off;auto;silk-8000;auto;1080;on;off;1137;3014;499;485
iptel.org;on;tls;off;auto;pcma-8000;h264;720;off;off;1073;1558;4631;4586;icq;on;udp;off;true;telephone-event-80000;rtx;1080;on;on;1490;3685;358;2023
irc;off;tls;on;auto;silk-24000;auto;360;on;off;938;4573;2186;1446;irc;on;auto;on;auto;silk-8000;vp8;480;on;off;545;2737;358;2023
iptel.org;on;tls;on;auto;silk-24000;vp8;240;off;on;511;4909;3690;1424;irc;on;auto;on;auto;silk-8000;vp8;480;on;off;545;2737;358;2023
irc;off;tls;on;auto;silk-24000;vp8;240;off;on;1179;4781;2558;1349;irc;off;auto;on;auto;pcmu-8000;vp8;1080;on;off;545;2737;95;2451
irc;off;tls;on;auto;silk-24000;rtx;240;off;on;1073;4928;2186;1009;irc;off;auto;on;auto;silk-8000;vp8;360;on;off;1039;2892;95;4086
iptel.org;off;tls;off;auto;silk-16000;h264;360;on;on;1159;4641;3405;591;irc;off;auto;off;auto;speex-16000;vp8;480;on;off;752;2821;157;4086
iptel.org;off;tls;off;auto;pcma-8000;red;1080;off;off;1009;4525;3755;562;ippi;off;auto;off;auto;g722-16000;rtx;480;off;off;722;2852;232;2328
sip;off;tls;on;auto;silk-24000;vp8;240;off;on;941;4985;2619;591;irc;on;auto;off;auto;silk-8000;vp8;480;on;off;705;2852;232;3940
irc;off;tls;on;auto;silk-24000;rtx;240;on;on;1073;4928;2186;1009;irc;off;auto;on;auto;silk-8000;vp8;480;on;off;825;2852;232;3940
h323;off;tls;on;auto;silk-24000;vp8;240;off;on;938;4573;2186;586;h323;off;auto;besteffort;auto;g722-16000;vp8;240;on;off;1006;3014;95;3945
iptel.org;off;tls;on;auto;pcma-8000;red;480;on;on;600;4832;2619;591;irc;off;auto;off;auto;auto;rtx;1080;on;on;1157;2964;321;3906
sip;off;tls;on;auto;silk-24000;rtx;240;on;on;1073;4573;3723;1446;irc;off;auto;off;auto;silk-8000;vp8;240;on;off;1039;2892;358;4086
aim;off;tls;on;auto;silk-24000;vp8;240;off;on;1073;4832;2619;591;irc;on;auto;off;auto;silk-8000;vp8;480;on;off;705;2852;232;981
