product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
sip;off;tls;on;auto;opus-48000;rtx;240;off;on;1111;4728;2342;1155;h323;off;auto;on;auto;amr-wb-16000;vp8;240;on;off;595;2607;51;4112;Failed
aim;off;tls;on;auto;silk-24000;vp8;480;off;on;1145;4943;2651;1878;irc;off;auto;off;auto;g722-16000;vp8;480;on;off;928;2607;51;1731;Failed
sip;off;tls;on;auto;silk-24000;auto;240;off;on;1103;4728;1688;1878;h323;off;auto;besteffort;auto;silk-16000;vp8;240;on;off;928;2607;51;3851;Failed
iptel.org;off;tls;off;auto;silk-24000;red;480;off;on;1145;4943;1913;943;irc;on;auto;off;auto;silk-24000;rtx;1080;on;off;1016;2607;51;4112;Connected
iptel.org;off;tls;on;auto;amr-wb-16000;h264;1080;on;on;1103;4916;2439;750;irc;off;udp;on;auto;amr-wb-16000;rtx;720;on;on;778;2607;51;3851;Failed
irc;off;tls;on;auto;silk-24000;ulpfec;240;off;on;1103;4916;3355;987;irc;off;auto;off;auto;pcmu-8000;vp8;480;on;off;974;2607;51;530;Failed
h323;off;tls;on;auto;silk-24000;auto;240;off;on;1103;4728;1688;750;ippi;off;auto;on;auto;silk-16000;vp8;240;on;off;897;2377;51;4112;Failed
iptel.org;on;tls;on;auto;silk-24000;red;240;off;on;857;4728;2511;1878;irc;off;auto;off;auto;speex-8000;red;1080;on;off;1070;2655;205;130;Failed
iptel.org;on;tls;off;auto;amr-wb-16000;h264;480;on;on;1173;4694;4409;1333;icq;off;auto;off;auto;silk-24000;rtx;240;on;off;974;2377;51;3851;Failed
iptel.org;off;tls;off;auto;amr-wb-16000;h264;240;off;on;1103;4916;2439;750;irc;off;udp;off;auto;silk-16000;rtx;1080;on;off;878;2655;205;3851;Connected
iptel.org;off;tls;on;auto;silk-24000;vp8;240;on;on;857;4728;2342;1155;irc;on;auto;on;auto;amr-wb-16000;vp8;480;on;off;595;2605;253;3851;Failed
iptel.org;off;tls;on;auto;silk-24000;red;1080;off;on;1103;4916;1688;943;irc;on;auto;off;auto;silk-24000;rtx;1080;on;on;928;2607;51;3851;Failed
iptel.org;on;tls;on;auto;silk-24000;red;480;on;on;1145;4943;1688;2606;irc;on;auto;off;auto;silk-16000;vp8;1080;on;off;878;2655;205;3851;Failed
iptel.org;on;tls;off;auto;amr-wb-16000;red;720;off;off;1478;4943;3019;199;icq;on;auto;off;false;silk-24000;rtx;1080;on;off;1312;4776;51;3851;Connected
irc;off;tls;on;auto;silk-24000;vp8;240;off;on;1103;4728;1688;1878;irc;on;auto;on;auto;ilbc-8000;vp8;480;on;off;657;2607;63;1353;Failed
irc;off;tls;on;auto;silk-24000;vp8;240;on;on;1103;4728;1688;1878;h323;off;auto;besteffort;auto;silk-16000;vp8;240;on;off;595;2605;418;4112;Failed
irc;off;tls;on;auto;silk-24000;auto;480;off;on;857;4728;2342;1371;irc;off;auto;on;auto;silk-16000;vp8;480;on;off;928;2607;51;1309;Connected
sip;on;tls;on;auto;silk-24000;vp8;240;off;on;578;4728;2887;750;irc;off;auto;on;auto;gsm-8000;vp8;480;on;off;1040;2655;205;3777;Failed
irc;off;tls;on;auto;silk-24000;vp8;240;off;on;857;4728;1772;879;irc;off;auto;on;auto;g722-16000;vp8;1080;on;off;974;2607;205;1513;Failed
iptel.org;on;tls;off;auto;amr-wb-16000;red;720;off;off;720;4943;4947;3792;icq;on;auto;off;auto;silk-24000;rtx;1080;on;on;1222;4938;418;2071;Connected
iptel.org;on;tcp;off;auto;silk-12000;red;1080;off;on;1103;4728;1688;2416;irc;off;auto;off;auto;g722-16000;rtx;480;on;off;758;2957;205;4112;Failed
iptel.org;off;tcp;off;auto;amr-wb-16000;h264;480;on;on;954;4694;1110;1333;icq;off;auto;off;auto;silk-24000;rtx;1080;on;off;974;2329;418;4112;Connected
iptel.org;off;tls;off;auto;amr-wb-16000;h264;480;on;on;578;4728;2887;750;irc;off;auto;off;auto;gsm-8000;vp8;480;on;off;974;2329;418;4112;Failed
sip;off;tls;on;auto;silk-24000;auto;480;on;on;857;4943;2811;750;irc;off;auto;on;auto;silk-16000;vp8;240;on;off;974;2607;51;3851;Failed
irc;off;tls;on;auto;silk-24000;vp8;480;off;on;1103;4916;2439;83;irc;off;auto;off;auto;g722-16000;ulpfec;480;on;off;897;2655;205;3732;Failed
irc;off;tls;on;auto;silk-24000;auto;240;off;on;1145;4815;1688;750;irc;off;auto;on;auto;silk-16000;ulpfec;480;on;off;974;2607;51;3851;Failed
sip;on;tls;on;true;silk-24000;vp8;240;off;on;1103;4728;1688;1878;irc;on;auto;off;auto;speex-16000;ulpfec;480;on;off;1227;3113;465;1563;Failed
irc;off;tls;on;auto;silk-24000;vp8;360;off;on;1103;4943;3674;2506;irc;off;auto;on;auto;silk-16000;auto;480;on;off;897;2655;205;3732;Failed
irc;off;tls;on;auto;silk-24000;vp8;240;off;on;1103;4728;1688;1878;h323;off;auto;besteffort;auto;silk-16000;vp8;240;on;off;928;2607;51;3851;Failed
sip;off;tls;on;auto;silk-24000;vp8;240;on;on;1103;4916;2439;943;irc;on;auto;off;auto;silk-24000;vp8;240;on;off;928;2607;51;3851;Failed
irc;off;tls;on;auto;silk-24000;red;1080;off;on;1103;4916;3355;987;irc;off;auto;on;auto;silk-16000;vp8;480;on;off;974;2329;205;1513;Failed
irc;off;tls;on;auto;silk-24000;ulpfec;240;off;on;1083;4943;736;1912;irc;on;auto;on;auto;gsm-8000;vp8;480;on;off;841;2655;205;4091;Failed
sip;off;tls;on;auto;silk-24000;vp8;240;on;on;1103;4728;1688;1878;h323;off;auto;besteffort;auto;silk-16000;vp8;240;on;off;595;2605;418;4112;Failed
iptel.org;off;tls;off;auto;amr-wb-16000;h264;720;off;off;1145;4943;3894;139;icq;on;auto;off;false;auto;rtx;1080;on;on;1362;2607;51;4112;Connected
sip;on;tls;on;auto;silk-24000;vp8;240;off;on;534;4916;3011;750;irc;off;auto;off;auto;speex-8000;ulpfec;1080;on;off;928;2607;51;3851;Failed
iptel.org;on;tcp;off;auto;amr-wb-16000;h264;480;on;on;1358;4943;4947;3792;icq;on;auto;off;false;g722-16000;rtx;1080;on;on;1312;3594;1309;511;Failed
iptel.org;off;tcp;off;auto;amr-wb-16000;h264;720;on;on;906;4694;1803;1333;irc;off;auto;off;auto;silk-24000;rtx;1080;on;off;974;2329;418;930;Connected
iptel.org;on;tcp;off;auto;amr-wb-16000;h264;480;on;off;1412;4943;4947;4726;icq;on;auto;off;false;auto;rtx;1080;on;on;1312;3594;1309;511;Connected
irc;off;tls;on;auto;silk-24000;auto;480;off;on;857;4728;2342;1371;irc;off;auto;on;auto;silk-16000;vp8;480;on;off;1312;4776;63;1353;Connected
iptel.org;off;tls;on;auto;silk-24000;red;480;off;off;604;4916;3259;1878;irc;on;auto;on;auto;pcmu-8000;vp8;480;on;off;1009;2607;51;2371;Failed
iptel.org;off;tls;on;auto;amr-wb-16000;h264;480;on;on;954;4694;1110;1333;icq;off;auto;off;auto;silk-24000;rtx;1080;on;off;1040;2655;205;3777;Failed
iptel.org;off;tls;on;auto;silk-24000;red;1080;off;on;1059;4916;1688;750;irc;off;auto;off;auto;silk-16000;vp8;240;on;off;595;2978;63;3732;Failed
iptel.org;off;tls;on;auto;silk-24000;vp8;480;off;on;857;4943;2913;750;irc;on;auto;on;auto;ilbc-8000;ulpfec;1080;on;off;716;2607;51;3851;Failed
iptel.org;on;tls;on;auto;silk-24000;red;360;on;on;1145;4943;1688;750;irc;off;auto;off;auto;telephone-event-80000;ulpfec;240;on;off;974;2607;63;1353;Failed
irc;off;tls;on;auto;silk-24000;rtx;240;off;on;1045;4728;3541;750;irc;off;auto;off;auto;amr-wb-16000;ulpfec;1080;on;off;974;4698;51;3851;Failed
irc;off;tls;on;auto;silk-24000;auto;480;off;on;709;4728;2174;750;h323;off;auto;on;auto;ilbc-8000;vp8;480;on;off;644;2843;465;1563;Connected
iptel.org;off;tls;on;auto;amr-wb-16000;h264;480;on;on;954;4694;1110;1333;icq;off;auto;off;auto;silk-24000;rtx;1080;on;off;1040;2655;51;3851;Failed
aim;off;tls;on;auto;silk-24000;auto;480;on;on;1083;4943;2351;1912;irc;off;auto;on;auto;silk-16000;vp8;240;on;off;595;2605;418;4112;Failed
irc;off;tls;on;auto;silk-24000;vp8;240;on;on;1103;4728;1688;750;irc;off;auto;off;auto;gsm-8000;vp8;1080;on;off;974;2528;418;948;Failed
iptel.org;on;tls;off;auto;amr-wb-16000;red;720;off;off;720;4943;3019;3792;icq;on;auto;off;false;speex-16000;rtx;1080;on;off;1312;3598;63;4112;Failed
irc;off;tls;on;auto;silk-24000;red;1080;off;on;1103;4916;4178;1371;irc;off;udp;off;auto;silk-16000;rtx;1080;on;off;878;2655;205;3851;Failed
iptel.org;off;tls;off;auto;amr-wb-16000;h264;480;on;on;954;4694;1110;1333;icq;off;auto;off;auto;silk-24000;rtx;1080;on;on;974;2329;418;3851;Failed
sip;off;tls;on;auto;silk-24000;vp8;360;off;off;1103;4728;1688;1878;irc;off;auto;on;auto;pcma-8000;ulpfec;1080;on;off;644;2978;205;4068;Failed
irc;off;tls;on;auto;silk-24000;auto;360;off;on;1103;4728;1688;750;irc;off;auto;besteffort;auto;gsm-8000;ulpfec;240;on;off;974;2607;51;3851;Connected
iptel.org;off;tls;off;auto;amr-wb-16000;h264;480;on;on;906;4694;1110;1333;icq;off;auto;off;false;speex-16000;rtx;1080;on;on;973;4672;418;4112;Failed
aim;off;tls;on;auto;silk-24000;vp8;480;off;on;1145;4943;2651;1878;irc;off;auto;off;auto;amr-wb-16000;vp8;480;on;off;897;2614;205;3732;Failed
iptel.org;on;tls;on;auto;silk-24000;red;480;off;off;604;4916;3259;1878;irc;on;auto;on;auto;pcmu-8000;vp8;480;on;off;1009;2607;51;2371;Failed
