product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
googletalk;off;auto;besteffort;auto;opus-48000;auto;360;on;off;712;176;4958;1010;irc;off;udp;on;true;g722-16000;rtx;720;on;on;1319;4309;2093;1331;Connected
ippi;off;tcp;on;auto;g722-16000;auto;240;on;off;1024;3806;1371;812;aim;off;tls;on;true;telephone-event-80000;ulpfec;480;off;off;503;289;2787;1877;Failed
aim;off;tls;off;auto;silk-16000;auto;240;on;off;1329;1022;2809;1930;googletalk;on;tls;off;auto;g722-16000;ulpfec;240;on;off;727;2763;142;3699;Failed
sip;off;tcp;on;auto;silk-12000;h264;1080;on;on;900;2423;2946;143;sip;off;auto;besteffort;auto;pcma-8000;auto;240;off;on;855;2648;640;244;Failed
iptel.org;on;tls;off;auto;pcma-8000;auto;360;on;off;1213;2231;1777;3494;icq;off;tcp;on;true;gsm-8000;auto;1080;on;on;1424;4877;3654;484;Failed
sip;off;auto;off;auto;telephone-event-80000;red;1080;on;off;1047;4850;1589;2178;sip;off;tls;off;true;speex-32000;rtx;480;off;off;918;4657;2863;4295;Failed
googletalk;on;tls;on;false;gsm-8000;vp8;480;on;off;630;3989;2924;2882;h323;off;tcp;besteffort;true;silk-12000;vp8;1080;off;off;1150;3665;2906;2118;Failed
h323;on;tls;on;false;pcmu-8000;h264;360;on;off;537;158;974;2156;icq;off;udp;besteffort;auto;telephone-event-80000;rtx;360;on;on;1009;1626;4480;2916;Connected
irc;off;tcp;on;true;silk-24000;red;360;off;off;1059;2979;3882;4160;irc;on;tls;on;true;speex-16000;auto;720;off;off;1032;4424;1031;1139;Failed
irc;on;udp;on;false;gsm-8000;auto;1080;off;off;547;1400;2549;2917;sip;off;tls;off;true;silk-16000;h264;360;on;off;1478;1285;925;4790;Failed
sip;on;udp;on;true;auto;auto;720;off;off;621;3685;1264;3076;irc;off;tcp;on;false;telephone-event-80000;ulpfec;240;on;on;1221;306;3720;4512;Failed
ippi;on;udp;besteffort;false;g722-16000;red;360;off;off;507;3759;3129;3077;h323;on;udp;besteffort;false;pcma-8000;vp8;1080;on;on;1256;1220;2406;650;Failed
