product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
googletalk;on;udp;off;true;speex-8000;vp8;1080;off;off;971;4500;970;1027;h323;off;auto;besteffort;auto;auto;vp8;360;on;on;524;4604;400;4333;Failed
googletalk;on;auto;off;auto;pcmu-8000;h264;1080;off;off;699;2590;1324;3362;ippi;off;tls;off;false;ilbc-8000;ulpfec;1080;on;on;520;3451;400;1361;Failed
aim;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1490;4500;1277;767;iptel.org;off;auto;off;auto;g722-16000;ulpfec;1080;on;on;524;3451;3169;1698;Connected
aim;on;auto;besteffort;auto;pcmu-8000;h264;360;on;off;1490;1769;1324;3362;googletalk;on;tls;off;false;speex-8000;ulpfec;1080;on;on;548;2511;3289;459;Failed
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1393;4500;970;617;h323;off;auto;off;true;pcma-8000;auto;360;on;off;520;4947;400;4194;Failed
googletalk;on;auto;off;auto;silk-12000;vp8;1080;off;off;971;4500;4682;197;iptel.org;off;auto;besteffort;auto;pcma-8000;auto;360;on;on;524;4947;400;4180;Failed
googletalk;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1490;4500;1277;767;iptel.org;on;auto;off;false;ilbc-8000;ulpfec;720;on;on;548;3451;3289;1698;Failed
aim;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1490;4500;1277;767;iptel.org;on;auto;off;auto;g722-16000;ulpfec;1080;on;on;524;3451;3169;1698;Connected
googletalk;on;auto;besteffort;true;ilbc-8000;h264;720;off;off;1490;4500;1277;767;iptel.org;on;auto;off;false;ilbc-8000;ulpfec;1080;on;on;535;4169;2710;3649;Failed
googletalk;off;tls;off;auto;pcmu-8000;auto;1080;on;off;942;1803;520;3110;iptel.org;off;auto;off;false;pcma-8000;auto;360;on;off;535;4456;242;4194;Failed
googletalk;on;auto;off;auto;speex-8000;vp8;1080;off;off;1443;4500;4545;1496;irc;off;auto;besteffort;auto;auto;auto;360;on;on;524;4947;400;4180;Failed
aim;off;auto;off;auto;silk-12000;vp8;1080;off;off;971;4500;970;197;iptel.org;off;auto;besteffort;auto;speex-32000;vp8;360;on;on;524;4947;242;4180;Failed
googletalk;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1490;4500;1277;767;iptel.org;on;auto;off;false;ilbc-8000;ulpfec;720;on;on;535;3451;400;1211;Failed
aim;off;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1490;1769;4572;3362;ippi;off;tls;off;false;pcmu-8000;auto;360;on;off;520;3451;3289;459;Failed
aim;off;auto;off;auto;pcmu-8000;h264;1080;off;off;883;2793;4341;3224;ippi;off;tls;off;true;pcma-8000;auto;720;on;on;527;4778;400;4777;Failed
aim;off;auto;off;auto;silk-12000;vp8;1080;off;off;971;4500;970;197;iptel.org;off;auto;besteffort;auto;pcma-8000;auto;360;on;on;524;4947;400;4180;Failed
aim;on;auto;besteffort;true;pcmu-8000;h264;1080;off;off;1490;1769;970;197;iptel.org;off;auto;off;false;pcma-8000;auto;360;on;off;535;4456;242;4194;Failed
googletalk;off;auto;off;auto;pcmu-8000;h264;1080;off;off;699;2551;3296;3113;irc;off;tls;off;true;speex-8000;auto;360;on;off;520;4604;400;4333;Connected
aim;on;auto;besteffort;true;ilbc-8000;h264;720;off;off;1490;4500;1277;767;iptel.org;off;auto;besteffort;auto;g722-16000;ulpfec;360;on;on;524;4778;400;4333;Connected
googletalk;on;auto;besteffort;auto;pcmu-8000;auto;1080;off;off;1490;897;2684;3224;ippi;off;tls;off;false;pcmu-8000;ulpfec;1080;on;on;548;3451;3289;459;Failed
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1490;4615;251;3362;ippi;off;tls;off;false;pcmu-8000;ulpfec;1080;on;off;685;4604;3169;4733;Failed
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1490;1769;1324;3362;ippi;off;tls;off;false;ilbc-8000;ulpfec;1080;on;off;685;81;3169;2718;Connected
aim;on;auto;on;auto;pcma-8000;vp8;720;off;off;1345;4500;970;300;iptel.org;off;auto;off;auto;ilbc-8000;auto;360;on;on;663;4947;400;4180;Failed
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1490;1769;1324;3362;iptel.org;on;tls;off;false;speex-8000;ulpfec;1080;on;on;548;2020;3169;2704;Connected
aim;off;auto;off;auto;amr-wb-16000;vp8;1080;off;off;971;4500;970;197;iptel.org;off;udp;besteffort;auto;auto;auto;360;on;off;520;4604;400;4333;Failed
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1490;2957;1830;3224;ippi;on;tls;off;false;speex-8000;ulpfec;1080;on;on;524;3451;3169;1698;Failed
googletalk;on;auto;besteffort;true;pcmu-8000;h264;480;off;off;1490;1769;1324;3362;irc;on;tls;off;false;speex-8000;ulpfec;1080;on;on;548;3451;1225;459;Failed
aim;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1490;4500;1277;767;iptel.org;off;auto;besteffort;auto;silk-16000;ulpfec;360;off;on;535;4922;513;4187;Connected
googletalk;on;tcp;off;auto;silk-12000;vp8;1080;off;off;971;4500;970;197;iptel.org;off;auto;besteffort;auto;auto;auto;360;on;off;548;4752;3346;4333;Failed
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1490;1769;3717;3362;ippi;off;auto;besteffort;true;pcma-8000;auto;360;on;on;524;71;400;2976;Connected
aim;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1490;4501;2689;630;irc;on;udp;off;false;speex-8000;ulpfec;1080;on;on;535;3451;400;3930;Failed
googletalk;on;tcp;off;auto;silk-12000;vp8;480;off;off;971;4500;970;197;iptel.org;off;auto;besteffort;auto;pcma-8000;auto;360;on;on;524;4947;400;4180;Failed
aim;off;auto;besteffort;auto;pcmu-8000;h264;360;on;off;1490;1769;1324;3362;googletalk;on;tls;off;false;speex-8000;rtx;1080;on;on;535;3451;3289;459;Connected
aim;off;auto;off;auto;pcmu-8000;auto;1080;on;off;942;1576;520;3110;iptel.org;off;auto;off;true;pcma-8000;auto;360;on;off;685;4947;3169;4733;Connected
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1490;1769;1324;3362;irc;on;auto;off;false;speex-8000;ulpfec;1080;on;on;527;4778;400;4777;Failed
aim;off;auto;on;auto;pcmu-8000;h264;1080;on;off;1490;1769;251;3362;ippi;on;tls;off;false;speex-8000;ulpfec;1080;on;off;548;3451;3289;459;Failed
googletalk;off;auto;off;auto;silk-12000;auto;1080;off;off;971;4610;1039;512;ippi;off;auto;off;true;pcma-8000;vp8;360;on;on;524;4515;400;4333;Failed
googletalk;on;auto;besteffort;true;speex-8000;vp8;1080;off;off;971;4500;970;197;iptel.org;off;auto;on;auto;auto;vp8;360;on;on;524;4456;3169;4555;Failed
googletalk;off;auto;besteffort;auto;pcmu-8000;h264;720;on;off;1490;1769;1324;3362;ippi;on;tls;off;false;speex-8000;rtx;1080;on;on;581;1718;3639;565;Failed
aim;off;auto;off;auto;pcmu-8000;h264;1080;on;off;1077;897;1830;3224;ippi;off;tls;off;false;speex-8000;ulpfec;1080;on;on;548;3451;3289;459;Connected
googletalk;off;tls;off;auto;silk-12000;auto;1080;off;off;971;4500;4545;1496;h323;off;auto;besteffort;auto;silk-8000;auto;360;on;off;520;4854;400;4333;Failed
googletalk;off;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;523;4824;2257;3315;irc;off;auto;off;true;pcmu-8000;auto;360;on;on;524;3322;1225;459;Connected
googletalk;off;tls;off;auto;amr-wb-16000;vp8;1080;off;off;823;4500;970;197;irc;off;auto;off;auto;auto;auto;360;on;off;520;4604;1097;4733;Failed
googletalk;on;auto;off;auto;pcmu-8000;auto;1080;on;off;1490;1769;1324;3362;ippi;off;tls;off;false;speex-8000;auto;360;on;off;520;4854;400;4333;Failed
googletalk;on;auto;off;auto;gsm-8000;auto;1080;off;off;971;4610;1039;512;ippi;off;auto;off;true;pcma-8000;vp8;360;on;on;524;4515;400;4333;Failed
