product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
googletalk;off;tls;off;auto;pcmu-8000;rtx;720;on;on;1252;2337;4910;3407;irc;on;udp;on;false;silk-12000;ulpfec;360;on;on;1048;2668;1831;3076;Failed
ippi;off;auto;on;true;pcma-8000;h264;360;off;off;1245;3176;1879;2831;ippi;on;tls;besteffort;auto;silk-8000;vp8;240;off;on;1025;2804;3248;1607;Failed
irc;off;tls;off;false;g722-16000;ulpfec;240;on;off;756;3928;2962;4910;aim;off;tls;on;false;ilbc-8000;vp8;720;off;on;1230;1865;1997;3838;Failed
ippi;off;tcp;off;auto;speex-8000;auto;480;off;on;666;4634;4298;4703;aim;on;tcp;besteffort;false;silk-8000;auto;240;on;off;770;3429;4072;4438;Connected
iptel.org;on;tcp;besteffort;true;silk-8000;rtx;240;on;on;570;783;299;4018;icq;on;udp;off;false;pcmu-8000;ulpfec;240;off;on;950;1776;4958;4167;Failed
sip;off;tls;on;true;speex-16000;red;720;off;on;858;1407;2040;2063;googletalk;on;tls;on;false;ilbc-8000;ulpfec;720;off;on;883;4984;4896;2487;Failed
h323;on;tls;off;auto;silk-16000;ulpfec;240;off;off;643;3808;4165;4298;googletalk;off;tls;on;true;opus-48000;auto;360;on;on;1404;2236;2083;1100;Failed
irc;on;tcp;on;true;gsm-8000;red;240;on;on;1361;3532;1022;2662;icq;off;tls;on;false;ilbc-8000;auto;720;on;off;1072;3128;4097;3499;Failed
irc;on;auto;besteffort;true;amr-wb-16000;rtx;720;off;on;1288;4994;474;3208;iptel.org;on;udp;besteffort;true;ilbc-8000;red;240;on;off;1005;4152;3113;4583;Failed
iptel.org;off;auto;on;false;silk-8000;rtx;240;off;off;699;3597;2076;2620;googletalk;on;tls;besteffort;auto;opus-48000;rtx;240;on;off;648;2410;4228;4833;Connected
h323;on;auto;besteffort;false;speex-32000;vp8;360;off;on;895;4800;2961;441;icq;off;tcp;besteffort;auto;silk-24000;rtx;360;on;on;507;358;861;842;Failed
aim;off;auto;off;false;pcma-8000;h264;240;off;on;1452;830;1431;4970;iptel.org;off;tcp;on;true;speex-8000;rtx;1080;on;on;1191;4120;1664;3803;Failed
iptel.org;on;tls;off;false;silk-8000;h264;360;off;off;1179;4892;4702;3156;h323;off;tls;on;false;amr-wb-16000;rtx;240;off;on;1092;4758;992;3654;Failed
iptel.org;on;tls;on;true;silk-24000;auto;720;on;off;820;2375;990;2039;googletalk;on;tcp;on;auto;gsm-8000;vp8;1080;on;off;607;2543;1810;401;Failed
icq;on;udp;on;auto;pcma-8000;ulpfec;480;off;on;876;2566;2511;4235;irc;off;auto;on;auto;silk-16000;rtx;360;on;off;1497;4275;2833;4831;Connected
aim;off;tcp;besteffort;auto;amr-wb-16000;ulpfec;240;on;off;1122;4429;1223;3339;icq;off;tcp;besteffort;auto;silk-24000;vp8;480;off;on;1231;3963;141;4778;Connected
googletalk;off;tls;on;true;pcma-8000;red;720;on;on;749;3425;2361;1088;irc;off;auto;off;false;opus-48000;red;1080;off;on;567;1087;2052;598;Failed
h323;on;udp;besteffort;false;speex-32000;h264;240;on;on;1424;51;730;1590;googletalk;on;udp;besteffort;true;pcmu-8000;rtx;480;off;off;1323;3580;497;4754;Connected
iptel.org;off;tcp;besteffort;false;g722-16000;red;720;off;off;1335;3898;1834;3441;h323;off;udp;on;false;auto;ulpfec;480;off;on;1429;3666;3931;577;Failed
ippi;on;udp;off;true;silk-8000;h264;240;on;off;1409;593;1444;2331;googletalk;on;tls;besteffort;false;silk-12000;h264;240;on;on;897;3344;1308;1235;Connected
sip;on;auto;on;false;silk-16000;red;480;on;on;1264;4000;264;2325;googletalk;off;tls;off;auto;silk-12000;ulpfec;1080;off;on;868;3830;1287;2735;Failed
irc;on;tls;besteffort;true;amr-wb-16000;auto;480;off;on;1301;1040;956;2679;iptel.org;on;tcp;besteffort;false;silk-24000;vp8;480;off;off;673;2868;2784;791;Connected
aim;on;tcp;on;auto;opus-48000;h264;240;on;on;973;1002;670;511;iptel.org;on;tls;besteffort;true;speex-16000;vp8;1080;off;off;1225;3877;2771;947;Connected
irc;off;tcp;besteffort;auto;speex-8000;auto;240;on;on;1437;4736;2915;3707;sip;off;auto;on;true;auto;rtx;720;on;off;520;3964;1847;2311;Failed
icq;on;udp;off;auto;pcma-8000;h264;1080;on;on;1174;2728;250;3981;googletalk;off;tls;on;true;gsm-8000;vp8;720;off;on;1432;1397;2447;2784;Failed
ippi;on;auto;off;auto;silk-8000;rtx;480;on;off;659;3282;3004;3390;h323;off;udp;besteffort;true;auto;ulpfec;480;on;on;666;4776;2812;4125;Failed
ippi;on;auto;off;auto;silk-8000;vp8;360;on;on;1427;2223;2490;2637;h323;on;udp;off;auto;g722-16000;h264;360;off;off;1437;4973;4580;921;Failed
googletalk;on;auto;off;auto;amr-wb-16000;h264;720;off;off;1310;4156;3881;2927;iptel.org;on;tls;on;auto;g722-16000;red;240;on;on;791;3670;1866;3412;Failed
